Algorithm,Dataset,Core,Eps,Batch,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,numIter,numOrgVerts,numSimpVerts
P-Weld-Async,manu,2,0.10054,-1,0.737799850,0.662815400,0.044189810,0.018320810,-1.000000000,-1.000000000,-1.000000000,0.012473830,-1,-1,1076858
P-Weld-Async,manu,32,0.10054,-1,0.485628165,0.414801300,0.041761080,0.016663415,-1.000000000,-1.000000000,-1.000000000,0.012402370,-1,-1,1076858
P-Weld-Async,manu,4,0.10054,-1,0.407562796,0.347307950,0.036535390,0.011215471,-1.000000000,-1.000000000,-1.000000000,0.012503985,-1,-1,1076858
P-Weld-Async,manu,64,0.10054,-1,1.095462798,1.039495450,0.033539440,0.009764133,-1.000000000,-1.000000000,-1.000000000,0.012663775,-1,-1,1076858
P-Weld-Async,manu,8,0.10054,-1,0.236080038,0.182701450,0.033018345,0.007948863,-1.000000000,-1.000000000,-1.000000000,0.012411380,-1,-1,1076858
P-Weld-Async,manu,16,6.050,-1,0.329440641,0.289934650,0.023731200,0.003233741,-1.000000000,-1.000000000,-1.000000000,0.012541050,-1,-1,2153399
P-Weld-Async,manu,1,6.050,-1,0.820330645,0.766234600,0.033062140,0.008460400,-1.000000000,-1.000000000,-1.000000000,0.012573505,-1,-1,2153399
P-Weld-Async,manu,2,6.050,-1,0.432078337,0.388703150,0.026093360,0.004647337,-1.000000000,-1.000000000,-1.000000000,0.012634490,-1,-1,2153399
P-Weld-Async,manu,32,6.050,-1,0.229050424,0.188252950,0.024766765,0.003470340,-1.000000000,-1.000000000,-1.000000000,0.012560370,-1,-1,2153399
P-Weld-Async,manu,4,6.050,-1,0.239965991,0.199540000,0.024315365,0.003537916,-1.000000000,-1.000000000,-1.000000000,0.012572710,-1,-1,2153399
P-Weld-Async,manu,64,6.050,-1,0.737344522,0.701748100,0.021719065,0.000922217,-1.000000000,-1.000000000,-1.000000000,0.012955140,-1,-1,2153399
P-Weld-Async,manu,8,6.050,-1,0.143254155,0.104309100,0.023267920,0.003168435,-1.000000000,-1.000000000,-1.000000000,0.012508700,-1,-1,2153399
P-Weld-Async,manu,64,0.1000022,-1,0.794721078,0.733670450,0.046217915,0.001785968,-1.000000000,-1.000000000,-1.000000000,0.013046745,-1,-1,1939081
P-Weld,manu,16,0.10054,-1,0.330323200,0.246633250,0.028847200,0.012377233,0.014437155,-1.000000000,-1.000000000,0.002001446,-1,-1,1076858
P-Weld,manu,1,0.10054,-1,1.387307000,1.319480000,0.046582795,0.023681765,0.014362490,-1.000000000,-1.000000000,0.008507614,-1,-1,1076858
P-Weld,manu,2,0.10054,-1,0.730790250,0.664161150,0.035830080,0.016999245,0.014345395,-1.000000000,-1.000000000,0.004455543,-1,-1,1076858
P-Weld,manu,32,0.10054,-1,0.336125100,0.237955600,0.030815750,0.014478922,0.014277285,-1.000000000,-1.000000000,0.002026606,-1,-1,1076858
P-Weld,manu,4,0.10054,-1,0.407562000,0.347032950,0.027755175,0.010526871,0.014242690,-1.000000000,-1.000000000,0.002955728,-1,-1,1076858
P-Weld,manu,64,0.10054,-1,1.107082000,0.729177650,0.030297175,0.009126994,0.020295760,-1.000000000,-1.000000000,0.000859449,-1,-1,1076858
