Dataset,Method,Epsilon,Threads,timeP_s,timeWhile_s,timeSingle_s,timeUNV_s,timeUR_s,timeC_s,timeU_s,timeAll_s,Runtime_ms,Runtime_s,numIter,numOrgVerts,numSimpVerts
manu,P-Weld Async,0.10054,4,0.359070,0.012321,0.025795,0.009735,0.003485,0.038126,0.012559,0.431933,431.971300,0.431971,3,2155617,1076858
manu,P-Weld Async,0.10054,8,0.200325,0.009666,0.024749,0.009491,0.002584,0.034423,0.012661,0.299577,299.622150,0.299622,3,2155617,1076858
manu,P-Weld Async,0.10054,16,0.109670,0.004813,0.025428,0.010078,0.002676,0.030246,0.012657,0.253478,253.526600,0.253527,5,2155617,1076858
manu,P-Weld Async,0.10054,32,0.070883,0.002855,0.024391,0.010413,0.001283,0.027250,0.012683,0.237342,237.392850,0.237393,5,2155617,1076858
manu,P-Weld Async,0.10054,64,0.049396,0.002556,0.023998,0.010053,0.001135,0.026558,0.012793,0.219829,219.897150,0.219897,5,2155617,1076858
stat,P-Weld,5.000e-2,1,1.819145,0.017097,0.030013,0.006060,0.022543,0.047118,0.019606,1.934890,1934.905500,1.934905,2,4999996,4994780
stat,P-Weld,5.000e-2,2,0.930582,0.010649,0.029138,0.005977,0.021735,0.039795,0.010530,1.049629,1049.640000,1.049640,2,4999996,4994780
stat,P-Weld,5.000e-2,4,0.476665,0.008840,0.029474,0.005933,0.022252,0.038349,0.006549,0.592021,592.036850,0.592037,3,4999996,4994780
stat,P-Weld,5.000e-2,8,0.252766,0.007283,0.029833,0.005914,0.022483,0.037153,0.005671,0.371110,371.125450,0.371125,3,4999996,4994780
stat,P-Weld,5.000e-2,16,0.156194,0.008674,0.031018,0.005971,0.023691,0.039728,0.004973,0.279715,279.730650,0.279731,3,4999996,4994780
stat,P-Weld,5.000e-2,32,0.112239,0.009028,0.033268,0.006963,0.024564,0.042330,0.004857,0.243392,243.411100,0.243411,3,4999996,4994780
stat,P-Weld,5.000e-2,64,0.100751,0.016257,0.036864,0.007935,0.025880,0.053448,0.005901,0.249178,249.193950,0.249194,3,4999996,4994780
stat,P-Weld,7.500e-2,1,1.970915,0.023356,0.035575,0.011843,0.022428,0.058974,0.019769,2.099821,2099.835000,2.099835,2,4999996,4950029
stat,P-Weld,7.500e-2,2,1.007182,0.020976,0.035044,0.011907,0.021852,0.056029,0.010598,1.143860,1143.874000,1.143874,3,4999996,4950029
stat,P-Weld,7.500e-2,4,0.515982,0.012101,0.036324,0.012688,0.022295,0.048432,0.006666,0.646779,646.793900,0.646794,3,4999996,4950029
stat,P-Weld,7.500e-2,8,0.268254,0.008357,0.035983,0.012016,0.022614,0.044348,0.005856,0.395382,395.394200,0.395394,3,4999996,4950029
stat,P-Weld,7.500e-2,16,0.182804,0.010125,0.038755,0.013263,0.023718,0.048888,0.004677,0.323153,323.168900,0.323169,4,4999996,4950029
stat,P-Weld,7.500e-2,32,0.110655,0.010520,0.043233,0.016152,0.025168,0.053759,0.005358,0.268937,268.954450,0.268954,4,4999996,4950029
stat,P-Weld,7.500e-2,64,0.101995,0.029850,0.044289,0.015635,0.026045,0.074178,0.006494,0.293291,293.308000,0.293308,4,4999996,4950029
stat,P-Weld,0.10023,1,2.259345,0.046758,0.051840,0.026580,0.023923,0.098637,0.019713,2.427251,2427.265500,2.427266,2,4999996,4499027
stat,P-Weld,0.10023,2,1.162405,0.035526,0.050828,0.026011,0.023514,0.086363,0.010559,1.333024,1333.039000,1.333039,3,4999996,4499027
stat,P-Weld,0.10023,4,0.598841,0.020564,0.051957,0.026901,0.023694,0.072530,0.006616,0.758523,758.538700,0.758539,3,4999996,4499027
stat,P-Weld,0.10023,8,0.322838,0.013784,0.051514,0.026361,0.023739,0.065312,0.005783,0.480729,480.747100,0.480747,3,4999996,4499027
stat,P-Weld,0.10023,16,0.196591,0.014251,0.057909,0.031312,0.024989,0.072174,0.005685,0.410216,410.236700,0.410237,4,4999996,4499027
stat,P-Weld,0.10023,32,0.132641,0.014587,0.064242,0.036864,0.025844,0.078836,0.005727,0.389698,389.714350,0.389714,4,4999996,4499027
stat,P-Weld,0.10023,64,0.109967,0.033673,0.073498,0.044847,0.026545,0.107177,0.006688,0.442689,442.706400,0.442706,4,4999996,4499027
stat,P-Weld,0.1795,1,3.691593,0.086078,0.064362,0.032055,0.031031,0.150480,0.019793,3.910963,3910.977500,3.910977,2,4999996,2502116
stat,P-Weld,0.1795,2,1.889481,0.068641,0.064282,0.032118,0.030730,0.132971,0.010618,2.118444,2118.462000,2.118462,3,4999996,2502116
stat,P-Weld,0.1795,4,0.973501,0.037457,0.064605,0.032228,0.031011,0.102070,0.006830,1.179121,1179.137000,1.179137,3,4999996,2502116
stat,P-Weld,0.1795,8,0.504198,0.022177,0.064666,0.032102,0.031200,0.086853,0.005225,0.700374,700.389850,0.700390,4,4999996,2502116
stat,P-Weld,0.1795,16,0.283626,0.022256,0.066292,0.032780,0.031216,0.088560,0.005567,0.578643,578.663250,0.578663,4,4999996,2502116
stat,P-Weld,0.1795,32,0.191722,0.020279,0.069385,0.035285,0.031585,0.089675,0.005655,0.577587,577.604250,0.577604,5,4999996,2502116
stat,P-Weld,0.1795,64,0.152379,0.030987,0.071497,0.037911,0.031504,0.102495,0.005753,0.630215,630.240700,0.630241,6,4999996,2502116
stat,P-Weld Async,5.000e-2,1,1.834523,0.019397,0.057748,0.005990,0.022550,0.077155,0.029184,1.959080,1959.093000,1.959093,2,4999996,4994780
stat,P-Weld Async,5.000e-2,2,0.934896,0.010948,0.049261,0.006010,0.013811,0.060218,0.029417,1.062604,1062.618500,1.062619,2,4999996,4994780
stat,P-Weld Async,5.000e-2,4,0.479710,0.008179,0.046385,0.005849,0.011321,0.054574,0.029193,0.604213,604.258950,0.604259,3,4999996,4994780
stat,P-Weld Async,5.000e-2,8,0.265460,0.007225,0.045182,0.005825,0.010099,0.052416,0.029236,0.394514,394.562950,0.394563,3,4999996,4994780
stat,P-Weld Async,5.000e-2,16,0.192217,0.013074,0.043873,0.006001,0.008618,0.056957,0.029230,0.325191,325.238900,0.325239,3,4999996,4994780
stat,P-Weld Async,5.000e-2,32,0.122958,0.007527,0.046045,0.007102,0.009228,0.053577,0.029695,0.259221,259.271150,0.259271,3,4999996,4994780
stat,P-Weld Async,5.000e-2,64,0.116082,0.024234,0.051197,0.010081,0.011062,0.075447,0.030021,0.284807,284.858650,0.284859,3,4999996,4994780
stat,P-Weld Async,7.500e-2,1,1.979647,0.025476,0.063850,0.012553,0.022109,0.089337,0.029165,2.116976,2116.992000,2.116992,2,4999996,4950029
stat,P-Weld Async,7.500e-2,2,1.013051,0.015722,0.059134,0.013360,0.016364,0.074866,0.029387,1.157868,1157.883500,1.157883,3,4999996,4950029
stat,P-Weld Async,7.500e-2,4,0.518602,0.009257,0.055166,0.012850,0.013093,0.064433,0.029200,0.658378,658.393400,0.658393,3,4999996,4950029
stat,P-Weld Async,7.500e-2,8,0.272589,0.007050,0.054840,0.013349,0.012005,0.061900,0.029462,0.412738,412.753600,0.412754,3,4999996,4950029
